office,votes,candidate,party
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 60,20702,Robert Brooks,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 60,11182,Chris Rahlf,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 61,26841,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 61,16606,Samantha Kerkman,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 61,10207,Gina Walkington,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 62,29223,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 62,16035,Robert Wittke,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 62,13161,John Lehman,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 63,27499,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 63,16775,Robin Vos,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 63,10705,Joel Jacobsen,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,21416,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,16773,Peter W. Barca,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,4441,Thomas Harland,Constitution
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 65,14931,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 65,14456,Tod Ohnstad,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 66,14896,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 66,14450,Greta Neubauer,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 67,25848,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 67,15970,Rob Summerfield,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 67,9878,Wren Keturi,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 68,24533,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 68,14129,Jesse James,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 68,10394,Wendy Sue Johnson,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 69,18905,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 69,17257,Bob Kulp,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 69,1576,Kathleen M. Rulka (wr-in),Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 70,24273,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 70,15027,Nancy Lynn Vander Meer,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 70,9223,Cari Fay,Democrat
